symbol,category
RELIANCE,large_cap
TCS,large_cap
HDFCBANK,large_cap
INFY,large_cap
ICICIBANK,large_cap
HINDUNILVR,large_cap
ITC,large_cap
SBIN,large_cap
BHARTIARTL,large_cap
KOTAKBANK,large_cap
BAJFINANCE,large_cap
LT,large_cap
WIPRO,large_cap
AXISBANK,large_cap
TITAN,large_cap
ASIANPAINT,large_cap
MARUTI,large_cap
SUNPHARMA,large_cap
HCLTECH,large_cap
NTPC,large_cap
ONGC,large_cap
POWERGRID,large_cap
ULTRACEMCO,large_cap
BAJAJFINSV,large_cap
ADANIPORTS,large_cap
M&M,large_cap
TATAMOTORS,large_cap
NESTLEIND,large_cap
TATASTEEL,large_cap
JSWSTEEL,large_cap
TECHM,large_cap
INDUSINDBK,large_cap
BPCL,large_cap
SBILIFE,large_cap
HINDALCO,large_cap
GRASIM,large_cap
DIVISLAB,large_cap
DRREDDY,large_cap
CIPLA,large_cap
BRITANNIA,large_cap
COALINDIA,large_cap
EICHERMOT,large_cap
HEROMOTOCO,large_cap
APOLLOHOSP,large_cap
BAJAJ-AUTO,large_cap
ADANIENT,large_cap
TRENT,large_cap
BEL,large_cap
HDFCLIFE,large_cap
DLF,large_cap
PIDILITIND,large_cap
SIEMENS,large_cap
BANKBARODA,large_cap
TVSMOTOR,large_cap
ICICIPRULI,large_cap
ATUL,large_cap
LUPIN,large_cap
MUTHOOTFIN,large_cap
HAVELLS,large_cap
MARICO,large_cap
AMBUJACEM,large_cap
TORNTPHARM,large_cap
SRTRANSFIN,large_cap
BOSCHLTD,large_cap
CADILAHC,large_cap
COLPAL,large_cap
DABUR,large_cap
GODREJCP,large_cap
HINDZINC,large_cap
ICICIGI,large_cap
INDIGO,large_cap
NAUKRI,large_cap
PAGEIND,large_cap
PEL,large_cap
PETRONET,large_cap
SHREECEM,large_cap
TIINDIA,large_cap
VEDL,large_cap
ZOMATO,large_cap
DMART,large_cap
BHEL,mid_cap
THERMAX,mid_cap
KPRMILL,mid_cap
AWL,mid_cap
MPHASIS,mid_cap
HINDPETRO,mid_cap
COCHINSHIP,mid_cap
COROMANDEL,mid_cap
ATGL,mid_cap
ESCORTS,mid_cap
POWERINDIA,mid_cap
SONACOMS,mid_cap
BALKRISIND,mid_cap
UNOMINDA,mid_cap
OFSS,mid_cap
MAXHEALTH,mid_cap
BANKINDIA,mid_cap
IDEA,mid_cap
MANKIND,mid_cap
GICRE,mid_cap
BHARATFORG,mid_cap
GODREJIND,mid_cap
FLUOROCHEM,mid_cap
MFSL,mid_cap
VMM,mid_cap
IRB,mid_cap
ACC,mid_cap
OBEROIRLTY,mid_cap
KALYANKJIL,mid_cap
BANDHANBNK,mid_cap
ASTRAL,mid_cap
PAYTM,mid_cap
LINDEINDIA,mid_cap
SUNTV,mid_cap
WAAREEENER,mid_cap
EXIDEIND,mid_cap
POLICYBZR,mid_cap
SBICARD,mid_cap
BERGEPAINT,mid_cap
GLENMARK,mid_cap
HUDCO,mid_cap
MRF,mid_cap
UNIONBANK,mid_cap
UBL,mid_cap
OIL,mid_cap
LTTS,mid_cap
PATANJALI,mid_cap
IGL,mid_cap
EMAMILTD,mid_cap
3MINDIA,mid_cap
LICHSGFIN,mid_cap
PRESTIGE,mid_cap
NIACL,mid_cap
IDFCFIRSTB,mid_cap
BDL,mid_cap
IRCTC,mid_cap
NMDC,mid_cap
AJANTPHARM,mid_cap
BIOCON,mid_cap
LTF,mid_cap
DIXON,mid_cap
NLCINDIA,mid_cap
GODREJPROP,mid_cap
TORNTPOWER,mid_cap
UPL,mid_cap
ASHOKLEY,mid_cap
JSWINFRA,mid_cap
HONAUT,mid_cap
SYNGENE,mid_cap
APOLLOTYRE,mid_cap
STARHEALTH,mid_cap
NATIONALUM,mid_cap
CRISIL,mid_cap
SRF,mid_cap
SUPREMEIND,mid_cap
PERSISTENT,mid_cap
SCHAEFFLER,mid_cap
AUBANK,mid_cap
DALBHARAT,mid_cap
MAZDOCK,mid_cap
DEEPAKNTR,mid_cap
RVNL,mid_cap
SOLARINDS,mid_cap
TATAELXSI,mid_cap
APARINDS,mid_cap
NHPC,mid_cap
AIAENG,mid_cap
MRPL,mid_cap
TATACOMM,mid_cap
NTPCGREEN,mid_cap
MSUMI,mid_cap
TATATECH,mid_cap
360ONE,mid_cap
INDIANB,mid_cap
GUJGASLTD,mid_cap
BLUESTARCO,mid_cap
BHARTIHEXA,mid_cap
OLAELEC,mid_cap
ABFRL,mid_cap
ENDURANCE,mid_cap
PHOENIXLTD,mid_cap
GLAND,mid_cap
IREDA,mid_cap
SUNDARMFIN,mid_cap
JUBLFOOD,mid_cap
ABCAPITAL,mid_cap
MOTILALOFS,mid_cap
SJVN,mid_cap
AUROPHARMA,mid_cap
HDFCAMC,mid_cap
JKCEMENT,mid_cap
PREMIERENE,mid_cap
IPCALAB,mid_cap
LLOYDSME,mid_cap
FORTIS,mid_cap
KEI,mid_cap
CONCOR,mid_cap
NYKAA,mid_cap
INDUSTOWER,mid_cap
JSL,mid_cap
POLYCAB,mid_cap
SUZLON,mid_cap
TATAINVEST,mid_cap
