chartink_symbol,nse_symbol,quantity,amount,broker,transaction_type,product,category
20MICRONS,20MICRONS-EQ,,20000,*,B,CNC,small_cap
21STCENMGM,21STCENMGM-EQ,,20000,*,B,CNC,small_cap
360ONE,360ONE-EQ,,30000,*,B,CNC,mid_cap
3BBLACKBIO,3BBLACKBIO-EQ,,20000,*,B,CNC,small_cap
3IINFOLTD,3IINFOLTD-EQ,,20000,*,B,CNC,small_cap
3MINDIA,3MINDIA-EQ,,30000,*,B,CNC,mid_cap
3PLAND,3PLAND-EQ,,20000,*,B,CNC,small_cap
5PAISA,5PAISA-EQ,,20000,*,B,CNC,small_cap
63MOONS,63MOONS-EQ,,20000,*,B,CNC,small_cap
A2ZINFRA,A2ZINFRA-EQ,,20000,*,B,CNC,small_cap
AAATECH,AAATECH-EQ,,20000,*,B,CNC,small_cap
AADHARHFC,AADHARHFC-EQ,,20000,*,B,CNC,small_cap
AAKASH,AAKASH-EQ,,20000,*,B,CNC,small_cap
AAREYDRUGS,AAREYDRUGS-EQ,,20000,*,B,CNC,small_cap
AARNAV,AARNAV-EQ,,20000,*,B,CNC,small_cap
AARON,AARON-EQ,,20000,*,B,CNC,small_cap
AARTECH,AARTECH-EQ,,20000,*,B,CNC,small_cap
AARTIDRUGS,AARTIDRUGS-EQ,,20000,*,B,CNC,small_cap
AARTIIND,AARTIIND-EQ,,20000,*,B,CNC,small_cap
AARTIPHARM,AARTIPHARM-EQ,,20000,*,B,CNC,small_cap
AARTISURF,AARTISURF-EQ,,20000,*,B,CNC,small_cap
AARVI,AARVI-EQ,,20000,*,B,CNC,small_cap
AAVAS,AAVAS-EQ,,20000,*,B,CNC,small_cap
ABANSENT,ABANSENT-EQ,,20000,*,B,CNC,small_cap
ABB,ABB-EQ,,20000,*,B,CNC,small_cap
ABBOTINDIA,ABBOTINDIA-EQ,,30000,*,B,CNC,mid_cap
ABCAPITAL,ABCAPITAL-EQ,,30000,*,B,CNC,mid_cap
ABCOTS,ABCOTS-EQ,,20000,*,B,CNC,small_cap
ABDL,ABDL-EQ,,20000,*,B,CNC,small_cap
ABFRL,ABFRL-EQ,,30000,*,B,CNC,mid_cap
ABINFRA,ABINFRA-EQ,,20000,*,B,CNC,small_cap
ABLBL,ABLBL-EQ,,20000,*,B,CNC,small_cap
ABMINTLLTD,ABMINTLLTD-EQ,,20000,*,B,CNC,small_cap
ABMKNO,ABMKNO-EQ,,20000,*,B,CNC,small_cap
ABREL,ABREL-EQ,,20000,*,B,CNC,small_cap
ABSLAMC,ABSLAMC-EQ,,20000,*,B,CNC,small_cap
ACC,ACC-EQ,,30000,*,B,CNC,mid_cap
ACCELYA,ACCELYA-EQ,,20000,*,B,CNC,small_cap
ACCURACY,ACCURACY-EQ,,20000,*,B,CNC,small_cap
ACE,ACE-EQ,,20000,*,B,CNC,small_cap
ACEINTEG,ACEINTEG-EQ,,20000,*,B,CNC,small_cap
ACI,ACI-EQ,,20000,*,B,CNC,small_cap
ACL,ACL-EQ,,20000,*,B,CNC,small_cap
ACMESOLAR,ACMESOLAR-EQ,,20000,*,B,CNC,small_cap
ACSTECH,ACSTECH-EQ,,20000,*,B,CNC,small_cap
ACUTAAS,ACUTAAS-EQ,,20000,*,B,CNC,small_cap
ADANIENSOL,ADANIENSOL-EQ,,20000,*,B,CNC,small_cap
ADANIENT,ADANIENT-EQ,,50000,*,B,CNC,large_cap
ADANIGREEN,ADANIGREEN-EQ,,20000,*,B,CNC,small_cap
ADANIPORTS,ADANIPORTS-EQ,,50000,*,B,CNC,large_cap
ADANIPOWER,ADANIPOWER-EQ,,20000,*,B,CNC,small_cap
ADFFOODS,ADFFOODS-EQ,,20000,*,B,CNC,small_cap
ADL,ADL-EQ,,20000,*,B,CNC,small_cap
ADOR,ADOR-EQ,,20000,*,B,CNC,small_cap
ADROITINFO,ADROITINFO-EQ,,20000,*,B,CNC,small_cap
ADSL,ADSL-EQ,,20000,*,B,CNC,small_cap
ADVAIT,ADVAIT-EQ,,20000,*,B,CNC,small_cap
ADVANCE,ADVANCE-EQ,,20000,*,B,CNC,small_cap
ADVANIHOTR,ADVANIHOTR-EQ,,20000,*,B,CNC,small_cap
ADVENTHTL,ADVENTHTL-EQ,,20000,*,B,CNC,small_cap
ADVENZYMES,ADVENZYMES-EQ,,20000,*,B,CNC,small_cap
AEGISLOG,AEGISLOG-EQ,,20000,*,B,CNC,small_cap
AEGISVOPAK,AEGISVOPAK-EQ,,20000,*,B,CNC,small_cap
AEPL,AEPL-EQ,,20000,*,B,CNC,small_cap
